,Flkr,Log G
3,0.07700747664785013,4.386
89,0.09480102016823366,4.29
176,0.0711190514266491,4.228
190,0.07774809637339786,4.336
203,0.09875728574115783,4.013999999999999
248,0.09908345964504406,4.435
317,0.07821001054253429,4.144
342,0.09033935202751309,4.413
394,0.08088889444479719,3.88
511,0.09692966705188155,4.329
513,0.09027017949847504,4.1419999999999995
529,0.0951049369177781,4.298
614,0.07856090815039352,4.649
617,0.09571136615704745,4.427
652,0.09808405593503267,4.105
670,0.08123975567286834,3.613
679,0.09990896069211885,4.441
692,0.08368045382667333,4.279
743,0.09712653263704851,4.586
751,0.09273078467231244,4.272
767,0.06976995064178482,4.354
771,0.09195703751174733,4.2669999999999995
780,0.09848346235230565,4.336
796,0.09661269723437726,4.367
834,0.09851475624600425,4.109
849,0.08865768904797733,4.561
858,0.08705356594873592,4.499
875,0.0925459316931665,4.2410000000000005
905,0.09711606980999932,4.4910000000000005
932,0.09948007937055081,4.52
979,0.08429340232396498,4.087
998,0.08269956742879003,3.9130000000000003
1004,0.06596327148145065,4.105
1074,0.08944579167291522,4.211
1168,0.09183366637444124,4.282
1312,0.09773822966963053,4.226
1358,0.09922515164362267,4.092
1380,0.09879854042083025,4.197
1381,0.08935111691243947,4.013
1427,0.09712930477689952,4.187
1488,0.07632125925738364,4.586
1510,0.0895280682016164,4.442
1538,0.08549095946364105,4.643
1545,0.09242819942301139,4.49
1553,0.08498356328345835,4.7219999999999995
1559,0.08756433089729398,4.421
1565,0.08449728193227202,4.337
1567,0.08447119762422517,4.4319999999999995
1636,0.0764178330427967,4.586
1650,0.08086655725492164,4.447
1694,0.09288910950999707,4.257
1713,0.0661024751025252,4.24
1743,0.08290293044410646,4.592
1775,0.09958210284821689,4.346
1779,0.07227972673717886,4.147
1787,0.08736423478694633,4.35
1826,0.09780775872059166,4.58
1841,0.0972851412370801,4.499
1879,0.07436810119543225,4.547
2010,0.08451704343315214,3.955
2049,0.08605675247963518,4.46
2070,0.08095150406006724,4.104
2132,0.08092186180874705,4.247
2189,0.09157125896308571,4.524
2219,0.095922798209358,4.333
2226,0.09777042578207329,4.357
2267,0.07537542114732787,4.162
2311,0.07503207598347217,4.404
2344,0.07634115172550082,4.331
2349,0.090758316218853,4.202
2550,0.09235550533048809,4.34
2590,0.09515108831692487,4.4430000000000005
2647,0.08407864515902475,4.618
2668,0.0973892820184119,4.178
2672,0.0936376309255138,4.533
2676,0.08598442218499258,4.23
2690,0.09034577669808641,4.2669999999999995
2729,0.07583608385175467,4.441
2792,0.09521121683064848,4.416
2807,0.09285377018386498,4.41
2816,0.06976088479859754,4.596
2837,0.09735987987369299,4.982
2873,0.09242304076906294,4.2669999999999995
2879,0.0977504241745919,3.9139999999999997
2914,0.08667365182191133,4.703
3003,0.08732331480132416,4.235
3035,0.084871549915988,4.468
3138,0.07544008258264512,4.107
3165,0.09131104889092967,4.59
3219,0.09057362331077456,4.503
3224,0.08505416190018877,4.008
3296,0.07936854672152549,4.298
3305,0.08643730689072981,4.053
3414,0.08261868788395077,4.736000000000001
3476,0.0861129883560352,4.5360000000000005
3620,0.08901829278329387,4.478
3629,0.0876020931173116,4.213
3646,0.0904646803974174,4.151
3709,0.09857752593234181,4.281000000000001
3739,0.08048960444284603,4.418
3761,0.088306529505644,4.246
3770,0.09864596358966082,4.2589999999999995
3774,0.06673586904071271,4.39
3778,0.09498139115748927,4.2219999999999995
3794,0.07700938294874504,4.471
3848,0.08238295413320884,3.987
3859,0.09531524119665846,4.033
3898,0.09256662451662123,4.439
3932,0.0765975346439518,4.164
3948,0.08892269397620112,4.504
3966,0.08595446706749499,4.346
3994,0.0890465744305402,3.909
4180,0.09174570004688576,4.218
4197,0.0972691341303289,4.625
4251,0.09136594599112868,4.258
4279,0.09046852210303769,3.783
4329,0.09657908958615735,4.255
4369,0.09250079892808571,4.505
4394,0.08206924394471571,3.803
4436,0.09662462980486453,4.393
4607,0.08898058877093717,4.57
4622,0.09525527275400236,4.792
4629,0.09062099707080051,3.9619999999999997
4689,0.09421434515388682,4.487
4707,0.07904844096628949,4.381
4709,0.09177542960969731,4.266
4720,0.07950207509566098,4.309
4734,0.0916785720619373,4.24
4742,0.09758237865753472,4.376
4758,0.09319854143541306,4.237
4794,0.07412065315293148,3.929
4817,0.09225750545738265,4.328
4837,0.08051268378039822,4.215
4924,0.09947372018359601,4.332
4934,0.08256510773207992,4.055
4980,0.08060648542596027,4.546
4992,0.07984967669472098,4.198
